排名,片名,年份,時長,分級,連結
139,孤兒流浪記,1921,1h 8m,0+,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_139
204,福爾摩斯二世,1924,45m,6+,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_204
202,淘金記,1925,1h 35m,6+,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_202
208,將軍號,1926,1h 18m,Passed,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_208
119,大都會,1927,2h 33m,Not Rated,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_119
236,聖女貞德蒙難記,1928,1h 50m,Passed,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_236
54,城市之光,1931,1h 27m,0+,https://www.imdb.com/title/tt0021749/?ref_=chttp_t_54
107,M就是兇手,1931,1h 57m,Passed,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_107
50,摩登時代,1936,1h 27m,0+,https://www.imdb.com/title/tt0027977/?ref_=chttp_t_50
164,亂世佳人,1939,3h 58m,0+,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_164
209,華府風雲,1939,2h 9m,Approved,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_209
234,綠野仙蹤,1939,1h 42m,0+,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_234
67,大獨裁者,1940,2h 5m,0+,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_67
243,怒火之花,1940,2h 9m,Approved,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_243
108,大國民,1941,1h 59m,PG,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_108
45,北非諜影,1942,1h 42m,0+,https://www.imdb.com/title/tt0034583/?ref_=chttp_t_45
244,生死問題,1942,1h 39m,6+,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_244
104,雙重賠償,1944,1h 47m,Approved,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_104
21,風雲人物,1946,2h 10m,0+,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21
227,黃金時代,1946,2h 50m,Approved,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_227
124,單車失竊記,1948,1h 29m,Not Rated,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_124
154,碧血金沙,1948,2h 6m,Approved,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_154
215,黑獄亡魂,1949,1h 44m,PG-12,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_215
62,日落大道,1950,1h 50m,12+,https://www.imdb.com/title/tt0043014/?ref_=chttp_t_62
141,彗星美人,1950,2h 18m,0+,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_141
169,羅生門,1950,1h 28m,PG-12,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_169
89,萬花嬉春,1952,1h 43m,0+,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_89
95,生之慾,1952,2h 23m,Not Rated,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_95
207,恐懼的代價,1953,2h 36m,Not Rated,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_207
214,東京物語,1953,2h 17m,Not Rated,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_214
23,七武士,1954,3h 27m,Not Rated,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_23
51,後窗,1954,1h 52m,PG,https://www.imdb.com/title/tt0047396/?ref_=chttp_t_51
163,電話謀殺案,1954,1h 45m,P,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_163
210,岸上風雲,1954,1h 48m,0+,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_210
5,十二怒漢,1957,1h 36m,U,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5
64,情婦,1957,1h 56m,Approved,https://www.imdb.com/title/tt0051201/?ref_=chttp_t_64
65,光榮之路,1957,1h 28m,Approved,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_65
174,桂河大橋,1957,2h 41m,PG,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_174
213,野草莓,1957,1h 32m,Not Rated,https://www.imdb.com/title/tt0050986/?ref_=chttp_t_213
222,第七封印,1957,1h 36m,Not Rated,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_222
110,迷魂記,1958,2h 8m,12+,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_110
105,北西北,1959,2h 16m,Approved,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_105
137,熱情如火,1959,2h 1m,0+,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_137
183,賓漢,1959,3h 32m,0+,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_183
35,驚魂記,1960,1h 49m,0+,https://www.imdb.com/title/tt0054215/?ref_=chttp_t_35
98,公寓春光,1960,2h 5m,Approved,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_98
135,紐倫堡大審,1961,2h 59m,Approved,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_135
155,大鏢客,1961,1h 50m,Not Rated,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_155
40,切腹,1962,2h 13m,Not Rated,https://www.imdb.com/title/tt0056058/?ref_=chttp_t_40
99,阿拉伯的勞倫斯,1962,3h 47m,0+,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_99
114,梅崗城故事,1962,2h 9m,P,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_114
77,天國與地獄,1963,2h 23m,Not Rated,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_77
159,第三集中營,1963,2h 52m,Approved,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_159
78,奇愛博士,1964,1h 35m,PG,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_78
134,黃昏雙鏢客,1965,2h 12m,R,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_134
229,真善美,1965,2h 52m,G,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_229
10,黃昏三鏢客,1966,2h 41m,R,https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10
242,阿爾及爾之戰,1966,2h 1m,Not Rated,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_242
53,狂沙十萬里,1968,2h 46m,12+,https://www.imdb.com/title/tt0064116/?ref_=chttp_t_53
100,2001：太空漫遊,1968,2h 29m,GP,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_100
118,發條橘子,1971,2h 16m,R-18,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_118
2,教父,1972,2h 55m,18+,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
117,刺激,1973,2h 9m,0+,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_117
230,大法師,1973,2h 2m,18+,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_230
4,教父Ⅱ,1974,3h 22m,18+,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
166,唐人街,1974,2h 10m,12+,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_166
19,飛越杜鵑窩,1975,2h 13m,6+,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_19
127,Hababam Sinifi: Sinifta Kaldi,1975,1h 35m,,https://www.imdb.com/title/tt0252488/?ref_=chttp_t_127
160,聖杯傳奇,1975,1h 31m,12+,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_160
185,亂世兒女,1975,3h 5m,PG,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_185
200,大白鯊,1975,2h 4m,0+,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_200
132,計程車司機,1976,1h 54m,12+,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_132
212,洛基,1976,2h,PG,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_212
240,螢光幕後,1976,2h 1m,R,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_240
29,星際大戰,1977,2h 1m,0+,https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29
206,越戰獵鹿人,1978,3h 3m,R-18,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_206
49,異形,1979,1h 57m,12+,https://www.imdb.com/title/tt0078748/?ref_=chttp_t_49
55,現代啟示錄,1979,2h 27m,18+,https://www.imdb.com/title/tt0078788/?ref_=chttp_t_55
15,星際大戰五部曲：帝國大反擊,1980,2h 4m,0+,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15
66,鬼店,1980,2h 26m,15+,https://www.imdb.com/title/tt0081505/?ref_=chttp_t_66
161,象人,1980,2h 4m,0+,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_161
175,蠻牛,1980,2h 9m,R,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_175
59,法櫃奇兵,1981,1h 55m,0+,https://www.imdb.com/title/tt0082971/?ref_=chttp_t_59
80,從海底出擊,1981,2h 29m,,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_80
148,突變第三型,1982,1h 49m,R,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_148
193,銀翼殺手,1982,1h 57m,15+,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_193
92,星際大戰六部曲：絕地大反攻,1983,2h 11m,0+,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_92
102,疤面煞星,1983,2h 50m,R-18,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_102
73,阿瑪迪斯,1984,2h 40m,6+,https://www.imdb.com/title/tt0086879/?ref_=chttp_t_73
88,四海兄弟,1984,3h 49m,18+,https://www.imdb.com/title/tt0087843/?ref_=chttp_t_88
219,魔鬼終結者,1984,1h 47m,18+,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_219
30,回到未來,1985,1h 56m,0+,https://www.imdb.com/title/tt0088763/?ref_=chttp_t_30
90,見證,1985,2h 22m,Not Rated,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_90
144,亂,1985,2h 40m,R-12,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_144
70,異形2,1986,2h 17m,12+,https://www.imdb.com/title/tt0090605/?ref_=chttp_t_70
226,前進高棉,1986,2h,R,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_226
237,站在我這邊,1986,1h 29m,PG-12,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_237
109,金甲部隊,1987,1h 56m,R-18,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_109
37,螢火蟲之墓,1988,1h 28m,0+,https://www.imdb.com/title/tt0095327/?ref_=chttp_t_37
46,新天堂樂園,1988,2h 54m,PG,https://www.imdb.com/title/tt0095765/?ref_=chttp_t_46
115,終極警探,1988,2h 12m,18+,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_115
186,龍貓,1988,1h 26m,0+,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_186
116,聖戰奇兵,1989,2h 7m,0+,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_116
182,春風化雨,1989,2h 8m,0+,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_182
17,四海好傢伙,1990,2h 25m,R-15,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17
22,沉默的羔羊,1991,1h 58m,18+,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_22
28,魔鬼終結者2,1991,2h 17m,12+,https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28
101,霸道橫行,1992,1h 39m,18+,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_101
149,殺無赦,1992,2h 10m,6+,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_149
7,辛德勒的名單,1993,3h 15m,R-15,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_7
138,侏羅紀公園,1993,2h 7m,6+,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_138
199,以父之名,1993,2h 13m,R,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_199
248,今天暫時停止,1993,1h 41m,0+,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_248
1,刺激1995,1994,2h 22m,12+,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
8,黑色追緝令,1994,2h 34m,18+,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8
11,阿甘正傳,1994,2h 22m,6+,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11
36,獅子王,1994,1h 28m,0+,https://www.imdb.com/title/tt0110357/?ref_=chttp_t_36
43,終極追殺令,1994,1h 50m,18+,https://www.imdb.com/title/tt0110413/?ref_=chttp_t_43
20,火線追緝令,1995,2h 7m,12+,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_20
47,刺激驚爆點,1995,1h 46m,6+,https://www.imdb.com/title/tt0114814/?ref_=chttp_t_47
75,玩具總動員,1995,1h 21m,0+,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_75
81,梅爾吉勃遜之英雄本色,1995,2h 58m,18+,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_81
103,烈火悍將,1995,2h 50m,12+,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_103
145,賭國風雲,1995,2h 58m,R-18,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_145
191,愛在黎明破曉時,1995,1h 41m,0+,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_191
221,恨,1995,1h 38m,15+,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_221
173,猜火車,1996,1h 33m,18+,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_173
177,冰血暴,1996,1h 38m,18+,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_177
27,美麗人生,1997,1h 56m,6+,https://www.imdb.com/title/tt0118799/?ref_=chttp_t_27
76,心靈捕手,1997,2h 6m,15+,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_76
83,魔法公主,1997,2h 13m,0+,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_83
123,鐵面特警隊,1997,2h 18m,18 +,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_123
187,天堂的孩子,1997,1h 29m,0+,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_187
24,搶救雷恩大兵,1998,2h 49m,12+,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24
42,美國X檔案,1998,1h 59m,R-18,https://www.imdb.com/title/tt0120586/?ref_=chttp_t_42
131,楚門的世界,1998,1h 43m,0+,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_131
167,兩根槍管,1998,1h 47m,18+,https://www.imdb.com/title/tt0120735/?ref_=chttp_t_167
220,謀殺綠腳趾,1998,1h 57m,12+,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_220
13,鬥陣俱樂部,1999,2h 19m,18+,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13
16,駭客任務,1999,2h 16m,12+,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16
25,綠色奇蹟,1999,3h 9m,0+,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_25
84,美國心玫瑰情,1999,2h 2m,18+,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_84
143,靈異第六感,1999,1h 47m,6+,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_143
238,鐵巨人,1999,1h 26m,0+,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_238
33,神鬼戰士,2000,2h 35m,12+,https://www.imdb.com/title/tt0172495/?ref_=chttp_t_33
57,記憶拼圖,2000,1h 53m,15+,https://www.imdb.com/title/tt0209144/?ref_=chttp_t_57
91,噩夢輓歌,2000,1h 42m,18+,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_91
121,偷拐搶騙,2000,1h 44m,12+,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_121
9,魔戒首部曲：魔戒現身,2001,2h 58m,6+,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9
31,神隱少女,2001,2h 4m,0+,https://www.imdb.com/title/tt0245429/?ref_=chttp_t_31
111,艾蜜莉的異想世界,2001,2h 2m,R-12,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_111
152,美麗境界,2001,2h 15m,12+,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_152
198,怪獸電力公司,2001,1h 32m,0+,https://www.imdb.com/title/tt0198781/?ref_=chttp_t_198
12,魔戒二部曲：雙城奇謀,2002,2h 59m,6+,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12
26,無法無天,2002,2h 10m,18+,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_26
32,戰地琴人,2002,2h 30m,12+,https://www.imdb.com/title/tt0253474/?ref_=chttp_t_32
172,神鬼交鋒,2002,2h 21m,6+,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_172
6,魔戒三部曲：王者再臨,2003,3h 21m,6+,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_6
79,原罪犯,2003,2h,18+,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_79
151,追殺比爾,2003,1h 51m,18+,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_151
156,海底總動員,2003,1h 40m,0+,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_156
158,燦爛時光,2003,6h 14m,R,https://www.imdb.com/title/tt0346336/?ref_=chttp_t_158
194,殺人回憶,2003,2h 11m,R-15,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_194
217,神鬼奇航：鬼盜船魔咒,2003,2h 23m,6+,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_217
96,王牌冤家,2004,1h 48m,6+,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_96
125,帝國毀滅,2004,2h 36m,12+,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_125
157,霍爾的移動城堡,2004,1h 59m,0+,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_157
180,登峰造擊,2004,2h 12m,PG-12,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_180
225,盧安達飯店,2004,2h 1m,6+,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_225
228,愛在日落巴黎時,2004,1h 20m,6+,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_228
231,超人特攻隊,2004,1h 55m,0+,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_231
133,蝙蝠俠：開戰時刻,2005,2h 20m,6+,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_133
168,V怪客,2005,2h 12m,12+,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_168
239,吾父吾子,2005,1h 52m,Not Rated,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_239
38,神鬼無間,2006,2h 31m,18+,https://www.imdb.com/title/tt0407887/?ref_=chttp_t_38
41,頂尖對決,2006,2h 10m,6+,https://www.imdb.com/title/tt0482571/?ref_=chttp_t_41
61,竊聽風暴,2006,2h 17m,12+,https://www.imdb.com/title/tt0405094/?ref_=chttp_t_61
150,羊男的迷宮,2006,1h 58m,12+,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_150
112,心中的小星星,2007,2h 42m,PG,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_112
142,黑金企業,2007,2h 38m,12+,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_142
147,險路勿近,2007,2h 2m,18+,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_147
196,料理鼠王,2007,1h 51m,0+,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_196
245,阿拉斯加之死,2007,2h 28m,unrated,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_245
3,黑暗騎士,2008,2h 32m,6+,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
56,瓦力,2008,1h 38m,0+,https://www.imdb.com/title/tt0910970/?ref_=chttp_t_56
181,經典老爺車,2008,1h 56m,6+,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_181
68,惡棍特工,2009,2h 33m,18+,https://www.imdb.com/title/tt0361748/?ref_=chttp_t_68
85,三個傻瓜,2009,2h 50m,GP,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_85
106,天外奇蹟,2009,1h 36m,0+,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_106
165,謎樣的雙眼,2009,2h 9m,R-18,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_165
205,巧克力情緣,2009,1h 32m,6+,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_205
232,忠犬小八,2009,1h 33m,0+,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_232
14,全面啟動,2010,2h 28m,6+,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14
93,玩具總動員3,2010,1h 43m,0+,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_93
97,烈火焚身,2010,2h 11m,12+,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_97
136,隔離島,2010,2h 18m,R-12,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_136
197,馴龍高手,2010,1h 38m,0+,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_197
48,逆轉人生,2011,1h 52m,6+,https://www.imdb.com/title/tt1675434/?ref_=chttp_t_48
113,分居風暴,2011,2h 3m,6+,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_113
176,哈利波特：死神的聖物Ⅱ,2011,2h 10m,6+,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_176
179,勇者無敵,2011,2h 20m,6+,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_179
247,姊妹,2011,2h 26m,U,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_247
52,決殺令,2012,2h 45m,18+,https://www.imdb.com/title/tt1853728/?ref_=chttp_t_52
71,黑暗騎士：黎明昇起,2012,2h 44m,6+,https://www.imdb.com/title/tt1345836/?ref_=chttp_t_71
94,謊言的烙印,2012,1h 55m,12+,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_94
250,瓦塞浦黑幫,2012,5h 21m,Not Rated,https://www.imdb.com/title/tt1954470/?ref_=chttp_t_250
128,華爾街之狼,2013,3h,18+,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_128
153,私法爭鋒,2013,2h 33m,12+,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_153
190,自由之心,2013,2h 14m,12+,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_190
233,決戰終點線,2013,2h 3m,R-12,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_233
18,星際效應,2014,2h 49m,6+,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_18
39,進擊的鼓手,2014,1h 46m,6+,https://www.imdb.com/title/tt2582802/?ref_=chttp_t_39
189,歡迎來到布達佩斯大飯店,2014,1h 39m,12+,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_189
195,控制,2014,2h 29m,12+,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_195
201,生命中最抓狂的小事,2014,2h 2m,R-18,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_201
170,腦筋急轉彎,2015,1h 35m,0+,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_170
184,瘋狂麥斯：憤怒道,2015,2h,12+,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_184
216,驚爆焦點,2015,2h 9m,15+,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_216
224,不存在的房間,2015,1h 58m,12+,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_224
249,誤殺瞞天記,2015,2h 43m,13+,https://www.imdb.com/title/tt4430212/?ref_=chttp_t_249
82,你的名字。,2016,1h 46m,0+,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_82
126,我和我的冠軍女兒,2016,2h 41m,6+,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_126
188,鋼鐵英雄,2016,2h 19m,15+,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_188
235,電影版聲之形,2016,2h 10m,0+,https://www.imdb.com/title/tt5323662/?ref_=chttp_t_235
241,下女的誘惑,2016,2h 25m,18+,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_241
72,可可夜總會,2017,1h 45m,0+,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_72
171,意外,2017,1h 55m,15+,https://www.imdb.com/title/tt5027774/?ref_=chttp_t_171
211,羅根,2017,2h 17m,15+,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_211
60,復仇者聯盟：無限之戰,2018,2h 29m,6+,https://www.imdb.com/title/tt4154756/?ref_=chttp_t_60
63,蜘蛛人：新宇宙,2018,1h 57m,0+,https://www.imdb.com/title/tt4633694/?ref_=chttp_t_63
87,我想有個家,2018,2h 6m,12+,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_87
129,幸福綠皮書,2018,2h 10m,PG-12,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_129
34,寄生上流,2019,2h 12m,12+,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_34
74,復仇者聯盟：終局之戰,2019,3h 1m,6+,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_74
86,小丑,2019,2h 2m,15+,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_86
122,1917,2019,1h 59m,PG-12,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_122
162,克勞斯：聖誕節的秘密,2019,1h 36m,7+,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_162
203,賽道狂人,2019,2h 32m,0+,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_203
130,漢密爾頓,2020,2h 40m,12+,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_130
140,父親,2020,1h 37m,U,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_140
246,鬼滅之刃 劇場版 無限列車篇,2020,1h 57m,6+,https://www.imdb.com/title/tt11032374/?ref_=chttp_t_246
192,蜘蛛人：無家日,2021,2h 28m,0+,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_192
223,傑伊．比姆,2021,2h 44m,16+,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_223
146,捍衛戰士：獨行俠,2022,2h 10m,6+,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_146
44,蜘蛛人：穿越新宇宙,2023,2h 20m,6+,https://www.imdb.com/title/tt9362722/?ref_=chttp_t_44
69,屢試屢敗,2023,2h 27m,,https://www.imdb.com/title/tt23849204/?ref_=chttp_t_69
120,奧本海默,2023,3h,15+,https://www.imdb.com/title/tt15398776/?ref_=chttp_t_120
58,沙丘：第二部,2024,2h 46m,12+,https://www.imdb.com/title/tt15239678/?ref_=chttp_t_58
178,荒野機器人,2024,1h 42m,0+,https://www.imdb.com/title/tt29623480/?ref_=chttp_t_178
218,誰偷了垃圾桶？,2024,2h 21m,16+,https://www.imdb.com/title/tt26548265/?ref_=chttp_t_218
